,deprel,total_count,failed_count,ratio_fail,ratio_to_all_deprels
0,punct,37171,1,2.6902692959565253e-05,0.28365714808992537
1,comp:obj,17775,702,0.03949367088607595,0.1356435341340944
2,subj,12180,256,0.021018062397372743,0.09294729933914317
3,mod,9541,1004,0.10523005974216539,0.07280871781566216
4,comp:aux,8236,194,0.02355512384652744,0.06285007860075395
5,root,8222,364,0.0442714667963999,0.06274324262450207
6,det,4816,45,0.009343853820598007,0.03675157583064972
7,comp:pred,3293,311,0.09444275736410568,0.025129347842676394
8,discourse,2551,206,0.08075264602116818,0.019467041101326292
9,mod:periph,2439,210,0.08610086100861009,0.01861235329131118
10,comp:obl,2048,226,0.1103515625,0.015628577097419147
11,cc,1995,83,0.04160401002506266,0.01522412661589414
12,mod:relcl,1968,118,0.059959349593495935,0.015018085804551213
13,conj:coord,1844,297,0.16106290672451193,0.014071824300605912
14,mod:poss,1728,23,0.013310185185185185,0.013186611925947406
15,conj:dicto,1479,96,0.06490872210953347,0.011286457776895957
16,dislocated,1369,275,0.20087655222790357,0.010447032249202546
17,comp:cleft,1239,97,0.07828894269572235,0.009454983898292151
18,compound,1094,259,0.236745886654479,0.008348468429969018
19,mod:emph,1076,61,0.056691449814126396,0.008211107889073732
20,comp:obj:x,1011,245,0.2423343224530168,0.007715083713618534
21,compound:svc,958,135,0.1409185803757829,0.007310633232093527
22,parataxis:conj,880,61,0.06931818181818182,0.00671540422154729
23,parataxis:obj,672,62,0.09226190476190477,0.005128126860090658
24,unk:fixed,578,119,0.20588235294117646,0.004410799590970834
25,flat,546,164,0.30036630036630035,0.0041666030738236595
26,compound:redup,531,25,0.047080979284369114,0.004052135956410922
27,det:num,409,30,0.07334963325183375,0.00312113673478732
28,compound:prt,348,43,0.1235632183908046,0.0026556371239755193
29,comp:obl:x,256,40,0.15625,0.0019535721371773934
30,subj:expl,252,1,0.003968253968253968,0.0019230475725339968
31,comp:obj:fixed,244,59,0.24180327868852458,0.0018619984432472032
32,comp:pred:fixed,229,7,0.03056768558951965,0.0017475313258344652
33,root:scrap,213,19,0.0892018779342723,0.0016254330672608782
34,conj:appos,178,39,0.21910112359550563,0.0013583431266311564
35,vocative,177,51,0.288135593220339,0.0013507119854703072
36,mod:num,174,53,0.3045977011494253,0.0013278185619877596
37,comp:obj:scrap,168,32,0.19047619047619047,0.0012820317150226644
38,flat:foreign,159,56,0.3522012578616352,0.0012133514445750216
39,parataxis:discourse,139,57,0.41007194244604317,0.0010607286213580379
40,parataxis:parenth,119,33,0.2773109243697479,0.000908105798141054
41,comp:obj:agent,107,27,0.2523364485981308,0.0008165321042108637
42,comp:obj:lvc,101,17,0.16831683168316833,0.0007707452572457685
43,comp:pred:agent,96,17,0.17708333333333334,0.0007325895514415226
44,unk:scrap,73,54,0.7397260273972602,0.0005570733047419911
45,parataxis:dislocated,68,40,0.5882352941176471,0.0005189175989377451
46,comp:aux:scrap,52,10,0.19230769230769232,0.00039681934036415805
47,mod:fixed,37,11,0.2972972972972973,0.00028235222295142017
48,mod:appos,29,26,0.896551724137931,0.0002213030936646266
49,comp:cleft:scrap,21,11,0.5238095238095238,0.00016025396437783306
50,comp:pred:scrap,20,12,0.6,0.00015262282321698386
51,mod:scrap,20,14,0.7,0.00015262282321698386
52,conj:dicto:scrap,18,2,0.1111111111111111,0.00013736054089528548
53,conj:coord:scrap,17,14,0.8235294117647058,0.00012972939973443628
54,comp:obl:scrap,15,6,0.4,0.0001144671174127379
55,comp:obl:agent,12,4,0.3333333333333333,9.157369393019033e-05
56,subj:scrap,11,3,0.2727272727272727,8.394255276934113e-05
57,parataxis:obj:scrap,7,4,0.5714285714285714,5.3417988125944356e-05
58,parataxis:conj:scrap,7,5,0.7142857142857143,5.3417988125944356e-05
59,parataxis:insert,5,5,1.0,3.8155705804245964e-05
60,comp:pred:x,5,2,0.4,3.8155705804245964e-05
61,comp:obl:fixed,4,4,1.0,3.052456464339677e-05
62,comp:obl:lvc,4,3,0.75,3.052456464339677e-05
63,mod:dislocated,1,1,1.0,7.631141160849193e-06
64,unk,1,1,1.0,7.631141160849193e-06
65,cc:fixed,1,0,0.0,7.631141160849193e-06
66,compound:svc:scrap,1,0,0.0,7.631141160849193e-06
67,goeswith,1,1,1.0,7.631141160849193e-06
68,compound:redup:scrap,1,0,0.0,7.631141160849193e-06
69,flat:fixed,1,1,1.0,7.631141160849193e-06
70,comp:svc,1,1,1.0,7.631141160849193e-06
